"child-src","Child source (child-src)"
"connect-src","Connect source (connect-src)"
"default-src","Default source (default-src)"
"font-src","Font source (font-src)"
"frame-ancestors","Frame ancestors (frame-ancestors)"
"frame-src","Frame source (frame-src)"
"img-src","Image source (img-src)"
"manifest-src","Manifest source (manifest-src)"
"media-src","Media source (media-src)"
"object-src","Object source (object-src)"
"script-src","Script source (script-src)"
"script-src-attr","Script source attribute (script-src-attr)"
"script-src-elem","Script source element (script-src-elem)"
"style-src","Style source (style-src)"
"style-src-attr","Style source attribute (style-src-attr)"
"style-src-elem","Style source element (style-src-elem)"
"worker-src","Worker source (worker-src)"
"base-uri","Base URI (base-uri)"
"form-action","Form action (form-action)"
"navigate-to","Navigate to (navigate-to)"
"report-to","Report to (report-to)"
"report-uri","Report URI (report-uri)"
"sandbox","Sandbox (sandbox)"
"upgrade-insecure-requests","Upgrade insecure requests (upgrade-insecure-requests)"
"block-all-mixed-content","Block all mixed content (block-all-mixed-content)"
